date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,monthly_average,Label2,Label3,raw_text,clean_text,len_raw,len_clean
2018-01-12,Brazil Soybeans 6.4% Harvested Mato Grosso 20% Harvested,50-60% of Soybeans in Argentina at Risk from Dry Weather,Soybean Pod Shedding in Brazil Explained (maybe),Forward Soybean Sales have been slow in Brazil,Dryer Weather in Brazil beneficial for early Soybean Harvest,Weather in Uruguay has been inconsistent for Soybean Production,Soybean Pods Dropping of Plants in Parana for Unknown Reason,Conventional Soy (non-GMO) maintains Niche Market in Brazil,Parana has 52% of all the Confirmed Cases of Soybean Rust in Brazil,Brazilian Farmers Moving Old Crop Corn to make room for Soy,"9,62",0,-1,Brazil Soybeans 6.4% Harvested Mato Grosso 20% Harvested Brazilian Farmers Moving Old Crop Corn to make room for Soy 50-60% of Soybeans in Argentina at Risk from Dry Weather Soybean Pod Shedding in Brazil Explained (maybe) Forward Soybean Sales have been slow in Brazil Dryer Weather in Brazil beneficial for early Soybean Harvest Weather in Uruguay has been inconsistent for Soybean Production Soybean Pods Dropping of Plants in Parana for Unknown Reason Conventional Soy (non-GMO) maintains Niche Market in Brazil Parana has 52% of all the Confirmed Cases of Soybean Rust in Brazil,brazil soybean harvested mato grosso harvested brazilian farmer moving old crop corn make room soy soybean argentina risk dry weather soybean pod shedding brazil explained maybe forward soybean sale slow brazil dryer weather brazil beneficial early soybean harvest weather uruguay inconsistent soybean production soybean pod dropping plant parana unknown reason conventional soy nongmo maintains niche market brazil parana confirmed case soybean rust brazil,93,63
2018-02-08,2017/18 Brazil Soybean Crop 35% Harvested Farmers Encouraged,Argentina Soybeans Estimates Declining,Buenos Aires Grain Exchange Slashes Soybean Production Estimate,Soybean Production in Uruguay also impacted by Dry Weather,Brazilian Soybean Crop 25% Harvested,Argentine Soybean Estimate Continues to Decline,83% of Mato Grosso's Cotton is Safrinha Production,Crop Estimates in Argentina Continue to Decline,Brazil Soybeans 26% Harvested slowed by Wet Weather,Argentina Soybeans at Risk from Hot and Dry Conditions,"9,82",1,1,2017/18 Brazil Soybean Crop 35% Harvested Farmers Encouraged Argentina Soybeans at Risk from Hot and Dry Conditions Argentina Soybeans Estimates Declining Buenos Aires Grain Exchange Slashes Soybean Production Estimate Soybean Production in Uruguay also impacted by Dry Weather Brazilian Soybean Crop 25% Harvested Argentine Soybean Estimate Continues to Decline 83% of Mato Grosso's Cotton is Safrinha Production Crop Estimates in Argentina Continue to Decline Brazil Soybeans 26% Harvested slowed by Wet Weather,brazil soybean crop harvested farmer encouraged argentina soybean risk hot dry condition argentina soybean estimate declining buenos aire grain exchange slash soybean production estimate soybean production uruguay impacted dry weather brazilian soybean crop harvested argentine soybean estimate continues decline mato grossos cotton safrinha production crop estimate argentina continue decline brazil soybean harvested slowed wet weather,72,55
2018-03-08,Soy Harvest Complete in Mato Grosso Brazil 71% Harvested,Industrialization is the Cure for Low Corn Prices in Mato Grosso,Brazil could increase Irrigated Crop Acreage 65% in Six Years,Brazil Soy Crop 65% Harvested Yields Good in Rio Grande do Sul,Early Soy Yields in Argentina are Highly Variable 11 to 72 bu/ac,Farmers in NE Brazil could Harvest Record Soybean Yields,Rains Benefit Soybeans in Rio Grande do Sul in Southern Brazil,Rains Offer Limited Help to Soy Crop in Argentina More Needed,2017/18 Brazil Soybean Crop Approaching 50% Harvested,Conab Increases Brazilian Soy Estimates and Trims Corn Estimate,"10,35",1,1,Soy Harvest Complete in Mato Grosso Brazil 71% Harvested Conab Increases Brazilian Soy Estimates and Trims Corn Estimate Industrialization is the Cure for Low Corn Prices in Mato Grosso Brazil could increase Irrigated Crop Acreage 65% in Six Years Brazil Soy Crop 65% Harvested Yields Good in Rio Grande do Sul Early Soy Yields in Argentina are Highly Variable 11 to 72 bu/ac Farmers in NE Brazil could Harvest Record Soybean Yields Rains Benefit Soybeans in Rio Grande do Sul in Southern Brazil Rains Offer Limited Help to Soy Crop in Argentina More Needed 2017/18 Brazil Soybean Crop Approaching 50% Harvested,soy harvest complete mato grosso brazil harvested conab increase brazilian soy estimate trim corn estimate industrialization cure low corn price mato grosso brazil increase irrigated crop acreage six year brazil soy crop harvested yield good rio grande sul early soy yield argentina highly variable buac farmer brazil harvest record soybean yield rain benefit soybean rio grande sul southern brazil rain offer limited help soy crop argentina needed brazil soybean crop approaching harvested,101,72
2018-04-10,U.S. Planting Progress - Corn a little Slow Soybeans a little Ahead,Farmers in Mato Grosso are slow Sellers in Spite of Improved Prices,Last Day to Harvest Soybeans in Mato Grosso was last Saturday,Wheat Production in South America could increase 5.9% in 2018,Dry Weather Negatively Impacting Safrinha Soybeans in Paraguay,Only 1.2% of Deforestation in Amazon Region due to Soy Production,Brazilian Soybean Farmers very Pleased with Strong Prices,Farmers in NE Brazil are very pleased with this Year's Production,Domestic Corn Prices Strengthen in Mato Grosso,Brazil Government Authorized the sale of One Million Tons of Corn,"10,35",0,0,U.S. Planting Progress - Corn a little Slow Soybeans a little Ahead Brazil Government Authorized the sale of One Million Tons of Corn Farmers in Mato Grosso are slow Sellers in Spite of Improved Prices Last Day to Harvest Soybeans in Mato Grosso was last Saturday Wheat Production in South America could increase 5.9% in 2018 Dry Weather Negatively Impacting Safrinha Soybeans in Paraguay Only 1.2% of Deforestation in Amazon Region due to Soy Production Brazilian Soybean Farmers very Pleased with Strong Prices Farmers in NE Brazil are very pleased with this Year's Production Domestic Corn Prices Strengthen in Mato Grosso,planting progress corn little slow soybean little ahead brazil government authorized sale million ton corn farmer mato grosso slow seller spite improved price last harvest soybean mato grosso last saturday wheat production south america increase dry weather negatively impacting safrinha soybean paraguay deforestation amazon region due soy production brazilian soybean farmer pleased strong price farmer brazil pleased year production domestic corn price strengthen mato grosso,101,65
2018-05-10,Soybean-Free Period takes effect in Central Brazil next Week,Soybean Prices Rise in Brazil Fueled largely by Weaker Currency,Brazilian Farmers are finally selling their Wheat at a Profit,Brazilian Organizations Criticize Increased Freight Rates,Brazil Corn Estimates Decline in Spite of first Rainfall in Weeks,2018 U.S. Planting Pace - Corn now Average Soybeans Advanced,Soybean Stem Fly found in Central Brazil for the First Time,Weaker Brazilian Currency results in Improved Soy Prices,Uruguay Soybean Production down 61% due to Severe Drought,Argentina's Soybeans Negatively Impacted by Wet Weather,"10,38",0,0,Soybean-Free Period takes effect in Central Brazil next Week Argentina's Soybeans Negatively Impacted by Wet Weather Soybean Prices Rise in Brazil Fueled largely by Weaker Currency Brazilian Farmers are finally selling their Wheat at a Profit Brazilian Organizations Criticize Increased Freight Rates Brazil Corn Estimates Decline in Spite of first Rainfall in Weeks 2018 U.S. Planting Pace - Corn now Average Soybeans Advanced Soybean Stem Fly found in Central Brazil for the First Time Weaker Brazilian Currency results in Improved Soy Prices Uruguay Soybean Production down 61% due to Severe Drought,soybeanfree period take effect central brazil next argentina soybean negatively impacted wet weather soybean price rise brazil fueled largely weaker currency brazilian farmer finally selling wheat profit brazilian organization criticize increased freight rate brazil corn estimate decline spite first rainfall week planting pace corn average soybean advanced soybean stem fly found central brazil first weaker brazilian currency result improved soy price uruguay soybean production due severe drought,91,67
2018-06-12,Conab lowers Brazil's Safrinha Corn Estimate 2.2 mt in July Report,U.S. Corn Condition Declines Slightly Soybeans Unchanged,Argentina could Import 6 Million Tons of Soybeans from Paraguay,U.S. Corn Condition Declines 1% Soybeans Decline 2%,June Planted Report offers few Surprises,U. S. Corn Condition Declines Slightly Soybeans Unchanged,Soybeans are being used in Sugarcane Renovation in Sao Paulo,U.S. Corn Condition Improves Slightly Soybeans Decline Slightly,Best Way to Control Soybean Rust is Multipronged Approach,Conab Increases Soybean Estimate and Lowers Corn Estimate,"10,09",0,-1,Conab lowers Brazil's Safrinha Corn Estimate 2.2 mt in July Report Conab Increases Soybean Estimate and Lowers Corn Estimate U.S. Corn Condition Declines Slightly Soybeans Unchanged Argentina could Import 6 Million Tons of Soybeans from Paraguay U.S. Corn Condition Declines 1% Soybeans Decline 2% June Planted Report offers few Surprises U. S. Corn Condition Declines Slightly Soybeans Unchanged Soybeans are being used in Sugarcane Renovation in Sao Paulo U.S. Corn Condition Improves Slightly Soybeans Decline Slightly Best Way to Control Soybean Rust is Multipronged Approach,conab lower brazil safrinha corn estimate july conab increase soybean estimate lower corn estimate corn condition decline slightly soybean unchanged argentina import million ton soybean paraguay corn condition decline soybean decline june planted offer surprise corn condition decline slightly soybean unchanged soybean used sugarcane renovation sao paulo corn condition improves slightly soybean decline slightly best control soybean rust multipronged approach,85,60
2018-07-12,Trip Report - Iowa and Northern Illinois,Brazilian Farmers may Plant 3-4% more Soybeans in 2018/19,Safrinha Corn Production in Brazil continues to Disappoint,Forward Selling Slow in Brazil due to Uncertainty over Freight Rates,Flower Prices Increase in Brazil due to Higher Freight Rates,High Freight Rates increase Cost of Producing Crops in Mato Grosso,Conventional Soybeans (non-GMO) continue to find a niche in Brazil,Brazilian Farmers concerned about lost Sales Opportunities,U.S. Corn Condition Steady Soybean Condition Improves,Brazilians may be missing Selling Opportunity due to Freight Dispute,"8,8",0,-1,Trip Report - Iowa and Northern Illinois Brazilians may be missing Selling Opportunity due to Freight Dispute Brazilian Farmers may Plant 3-4% more Soybeans in 2018/19 Safrinha Corn Production in Brazil continues to Disappoint Forward Selling Slow in Brazil due to Uncertainty over Freight Rates Flower Prices Increase in Brazil due to Higher Freight Rates High Freight Rates increase Cost of Producing Crops in Mato Grosso Conventional Soybeans (non-GMO) continue to find a niche in Brazil Brazilian Farmers concerned about lost Sales Opportunities U.S. Corn Condition Steady Soybean Condition Improves,trip iowa northern illinois brazilian missing selling opportunity due freight dispute brazilian farmer plant soybean safrinha corn production brazil continues disappoint forward selling slow brazil due uncertainty freight rate flower price increase brazil due higher freight rate high freight rate increase cost producing crop mato grosso conventional soybean nongmo continue find niche brazil brazilian farmer concerned lost sale opportunity corn condition steady soybean condition improves,90,65
2018-08-10,Annual Month-By-Month Crop Production Cycle for Argentina,Crop Production Cycle for Paraguay Uruguay and Bolivia,Annual Month-By-Month Crop Production Cycle in Brazil,2018 U.S. Corn Condition Declines Slightly Soybeans Unchanged,2018/19 Corn Acreage in Argentina could increase 7.4%,U.S. Corn Condition Holds Steady Soybeans Improve,New Soybean Variety in Argentina more Tolerant to Dry Weather,Farmers in Bahia very Pleased with Cotton Production and Price,Brazilian Soybean Prices supported by Weaker Brazilian Currency,U.S. Corn Condition declines 2% Soybeans decline 1%,"8,66",0,-1,Annual Month-By-Month Crop Production Cycle for Argentina U.S. Corn Condition declines 2% Soybeans decline 1% Crop Production Cycle for Paraguay Uruguay and Bolivia Annual Month-By-Month Crop Production Cycle in Brazil 2018 U.S. Corn Condition Declines Slightly Soybeans Unchanged 2018/19 Corn Acreage in Argentina could increase 7.4% U.S. Corn Condition Holds Steady Soybeans Improve New Soybean Variety in Argentina more Tolerant to Dry Weather Farmers in Bahia very Pleased with Cotton Production and Price Brazilian Soybean Prices supported by Weaker Brazilian Currency,annual monthbymonth crop production cycle argentina corn condition decline soybean decline crop production cycle paraguay uruguay bolivia annual monthbymonth crop production cycle brazil corn condition decline slightly soybean unchanged corn acreage argentina increase corn condition hold steady soybean improve soybean variety argentina tolerant dry weather farmer bahia pleased cotton production price brazilian soybean price supported weaker brazilian currency,81,58
2018-09-12,History of How Brazil became so Important in Soybean Production,Soy Crush Margins in Brazil could turn Negative Fourth Quarter,Soy Farmers in Mato Grosso do Sul are Planting Fast and Selling Fast,Brazil Farmers expecting at least $10/bu for their 2018/19 Soybeans,Soybean Planting in Parana off to record fast Pace,Cotton Acreage and Production continues to increase in Brazil,South American could set new Records for Soy and Corn Production,Soybean and Full-Season Corn Planting in Parana at Record Pace,Brazil could Import up to 1.0 Million tons of U.S. Soybeans,2018/19 Brazilian Soybean Planting off to a Strong Start,"8,49",0,-1,History of How Brazil became so Important in Soybean Production 2018/19 Brazilian Soybean Planting off to a Strong Start Soy Crush Margins in Brazil could turn Negative Fourth Quarter Soy Farmers in Mato Grosso do Sul are Planting Fast and Selling Fast Brazil Farmers expecting at least $10/bu for their 2018/19 Soybeans Soybean Planting in Parana off to record fast Pace Cotton Acreage and Production continues to increase in Brazil South American could set new Records for Soy and Corn Production Soybean and Full-Season Corn Planting in Parana at Record Pace Brazil could Import up to 1.0 Million tons of U.S. Soybeans,history brazil became important soybean production brazilian soybean planting strong start soy crush margin brazil turn negative fourth quarter soy farmer mato grosso sul planting fast selling fast brazil farmer expecting least soybean soybean planting parana record fast pace cotton acreage production continues increase brazil south american set record soy corn production soybean fullseason corn planting parana record pace brazil import million ton soybean,102,64
2018-10-11,Brazil Soybean Planting continues at Record Fast Pace,Soy Harvest in Brazil will start 10-15 Days Earlier than Last Year,First Case of Soybean Rust reported in Commercial Fields in Brazil,In Sept. Brazil Exported 57 Times more Soybeans to China than U.S.,Proposal would increase Brazil's Biodiesel Blend to B15,Brazil's Soybeans being planted at Record Fast Pace,Corn-Based Ethanol production focus of Meeting in Mato Grosso,Corn-Based Ethanol production focus of Meeting in Mato Grosso,Brazil's 2018/19 Corn Crop could set a New Record High Production,Strong Machinery sales in Brazil expected to continue into 2019,"8,47",0,0,Brazil Soybean Planting continues at Record Fast Pace Strong Machinery sales in Brazil expected to continue into 2019 Soy Harvest in Brazil will start 10-15 Days Earlier than Last Year First Case of Soybean Rust reported in Commercial Fields in Brazil In Sept. Brazil Exported 57 Times more Soybeans to China than U.S. Proposal would increase Brazil's Biodiesel Blend to B15 Brazil's Soybeans being planted at Record Fast Pace Corn-Based Ethanol production focus of Meeting in Mato Grosso Corn-Based Ethanol production focus of Meeting in Mato Grosso Brazil's 2018/19 Corn Crop could set a New Record High Production,brazil soybean planting continues record fast pace strong machinery sale brazil expected continue soy harvest brazil start day earlier last first case soybean rust reported commercial field brazil sept brazil exported time soybean china proposal increase brazil biodiesel blend brazil soybean planted record fast pace cornbased ethanol production focus meeting mato grosso cornbased ethanol production focus meeting mato grosso brazil corn crop set record high production,98,66
2018-11-08,Corn-Based Ethanol helps to hold down Gasoline Prices in Brazil,Department of Rural Economics rates Parana Soybeans as 97% Good,Deforestation in Mato Grosso increased for Second Consecutive Year,Brazilian Farmers concerned about Early Confirmation of Soy Rust,Brazil's Cotton Exports could increase 35% in 2019,"""Grain Railroad"" could lower Cost out of Mato Grosso by 30%",Santa Catarina runs 4 Million Ton Deficit in Corn Production,95% of China's Soybean Imports in October 2018 came from Brazil,Crushers in Matos Grosso running out of Soybeans,Imea Releases their First Corn Production Estimate for Mato Grosso,"8,65",1,1,"Corn-Based Ethanol helps to hold down Gasoline Prices in Brazil Imea Releases their First Corn Production Estimate for Mato Grosso Department of Rural Economics rates Parana Soybeans as 97% Good Deforestation in Mato Grosso increased for Second Consecutive Year Brazilian Farmers concerned about Early Confirmation of Soy Rust Brazil's Cotton Exports could increase 35% in 2019 ""Grain Railroad"" could lower Cost out of Mato Grosso by 30% Santa Catarina runs 4 Million Ton Deficit in Corn Production 95% of China's Soybean Imports in October 2018 came from Brazil Crushers in Matos Grosso running out of Soybeans",cornbased ethanol help hold gasoline price brazil imea release first corn production estimate mato grosso department rural economics rate parana soybean good deforestation mato grosso increased second consecutive brazilian farmer concerned early confirmation soy rust brazil cotton export increase grain railroad lower cost mato grosso santa catarina run million ton deficit corn production china soybean import october came brazil crusher matos grosso running soybean,96,64
2018-12-14,Brazil Soybean Crop 21% Harvested vs. 5-Year Average of 8.6%,Pushback Continues against late Planting of Soy in Mato Grosso,Early Soy Yields out of Mato Grosso do Sul and Goias Disappoint,Soybean Prices in Mato Grosso decline as Harvest Progresses,Every State in Brazil expecting Lower Soybean Yields,Brazilian Farmers have sold 33.7% of their 2018/19 Soy Production,Brazil's Soybeans 6% Harvested Early Yields are Disappointing,Minimum Freight Rates Increased in Brazil,Argentina Soybeans Improving Wet Weather is a Concern,Brazil Soybean Harvest Underway Early Yields Disappoint,"8,95",1,1,Brazil Soybean Crop 21% Harvested vs. 5-Year Average of 8.6% Brazil Soybean Harvest Underway Early Yields Disappoint Pushback Continues against late Planting of Soy in Mato Grosso Early Soy Yields out of Mato Grosso do Sul and Goias Disappoint Soybean Prices in Mato Grosso decline as Harvest Progresses Every State in Brazil expecting Lower Soybean Yields Brazilian Farmers have sold 33.7% of their 2018/19 Soy Production Brazil's Soybeans 6% Harvested Early Yields are Disappointing Minimum Freight Rates Increased in Brazil Argentina Soybeans Improving Wet Weather is a Concern,brazil soybean crop harvested average brazil soybean harvest underway early yield disappoint pushback continues late planting soy mato grosso early soy yield mato grosso sul goias disappoint soybean price mato grosso decline harvest progress every state brazil expecting lower soybean yield brazilian farmer sold soy production brazil soybean harvested early yield disappointing minimum freight rate increased brazil argentina soybean improving wet weather concern,88,63
2019-02-08,Late Season Weather helping 2018/19 Brazilian Soybean Crop,Soybean Premiums and Prices Move Higher in Brazil,Soybean Yields improving in Parana but total Crop Still down 15%,Spring Weather could Impact 2019 Corn and Soy Acreage in U.S.,2018/19 Brazilian Soybean Crop is 45% Harvested,Indigenous Farmers in Brazil want to Expand Crop Production,Improved Weather in Brazil Stabilizes Soybean Crop,2018/19 Soy Production in Paraguay could be down as Much as 30%,Conab lowers Brazilian Soybean Production 3.5 mt to 115.3 Million,2018/19 Safrinha Corn is 71.2% of Brazil's Total Corn Production,"9,13",1,1,Late Season Weather helping 2018/19 Brazilian Soybean Crop 2018/19 Safrinha Corn is 71.2% of Brazil's Total Corn Production Soybean Premiums and Prices Move Higher in Brazil Soybean Yields improving in Parana but total Crop Still down 15% Spring Weather could Impact 2019 Corn and Soy Acreage in U.S. 2018/19 Brazilian Soybean Crop is 45% Harvested Indigenous Farmers in Brazil want to Expand Crop Production Improved Weather in Brazil Stabilizes Soybean Crop 2018/19 Soy Production in Paraguay could be down as Much as 30% Conab lowers Brazilian Soybean Production 3.5 mt to 115.3 Million,late season weather helping brazilian soybean crop safrinha corn brazil total corn production soybean premium price move higher brazil soybean yield improving parana total crop still spring weather impact corn soy acreage brazilian soybean crop harvested indigenous farmer brazil want expand crop production improved weather brazil stabilizes soybean crop soy production paraguay much conab lower brazilian soybean production million,93,59
2019-03-08,Anec Estimates Lower Brazilian Soybean and Corn Exports,USDA Report may Overestimate Corn Underestimate Soy Acreage,Good Early Corn Yields in Argentina Soy Harvest just Starting,Brazilian Farmers Optimistic about Safrinha Corn Production,Soy Yields in NE Brazil Variable just Like the Rest of the Country,2018/19 Brazilian Soybean Crop approaching 70% Harvested,Early Soy Harvest Underway in Argentina Good Yields Reported,Soybean Moratorium helps preserve the Water Cycle in Brazil,Wet Weather Slows Brazil's Soybean Harvest Helps Safrinha Corn,2018/19 Soybean Harvest just getting Underway in Argentina,"9,09",0,0,Anec Estimates Lower Brazilian Soybean and Corn Exports 2018/19 Soybean Harvest just getting Underway in Argentina USDA Report may Overestimate Corn Underestimate Soy Acreage Good Early Corn Yields in Argentina Soy Harvest just Starting Brazilian Farmers Optimistic about Safrinha Corn Production Soy Yields in NE Brazil Variable just Like the Rest of the Country 2018/19 Brazilian Soybean Crop approaching 70% Harvested Early Soy Harvest Underway in Argentina Good Yields Reported Soybean Moratorium helps preserve the Water Cycle in Brazil Wet Weather Slows Brazil's Soybean Harvest Helps Safrinha Corn,anec estimate lower brazilian soybean corn export soybean harvest getting underway argentina usda overestimate corn underestimate soy acreage good early corn yield argentina soy harvest starting brazilian farmer optimistic safrinha corn production soy yield brazil variable like rest country brazilian soybean crop approaching harvested early soy harvest underway argentina good yield reported soybean moratorium help preserve water cycle brazil wet weather slows brazil soybean harvest help safrinha corn,88,68
2019-04-09,Brazilian Land Prices Reflect Agricultural Usage,Corn-Based Ethanol now 4.6% of Brazil's Ethanol Production,Equipment Sales Soar at Successful Agrishow-2019 in Brazil,Increased Cotton Prod. Stimulates Cotton Harvester Sales in Brazil,Deforestation Declined in Brazil in 2018 Much More Work Needed,The State of Mato Grosso leads Brazil in Cattle Production,2018/19 Argentine Soybeans more than 50% Harvested,Brazilian Exporters Unhappy about Increase in Freight Rates,Soybean Premiums decline significantly at Brazilian Ports,Farmers in Rio Grande do Sul like their Soy Yields but not Soy Prices,"8,99",0,-1,Brazilian Land Prices Reflect Agricultural Usage Farmers in Rio Grande do Sul like their Soy Yields but not Soy Prices Corn-Based Ethanol now 4.6% of Brazil's Ethanol Production Equipment Sales Soar at Successful Agrishow-2019 in Brazil Increased Cotton Prod. Stimulates Cotton Harvester Sales in Brazil Deforestation Declined in Brazil in 2018 Much More Work Needed The State of Mato Grosso leads Brazil in Cattle Production 2018/19 Argentine Soybeans more than 50% Harvested Brazilian Exporters Unhappy about Increase in Freight Rates Soybean Premiums decline significantly at Brazilian Ports,brazilian land price reflect agricultural usage farmer rio grande sul like soy yield soy price cornbased ethanol brazil ethanol production equipment sale soar successful agrishow brazil increased cotton prod stimulates cotton harvester sale brazil deforestation declined brazil much work needed state mato grosso lead brazil cattle production argentine soybean harvested brazilian exporter unhappy increase freight rate soybean premium decline significantly brazilian port,87,62
2019-05-10,96% of Fungicides used on Brazilain Soybeans is for Rust Control,Imea Estimates Soy Area in Mato Grosso to Increase 0.6% in 2019/20,2019 U.S. Soybean Planting Record Slow at 39% Complete,Brazilian Soybean Prices follow U.S. Prices Higher,2019 U.S. Soybean Acreage and Yields Uncertain at this Time,Corn-Based Ethanol Production continues to Expand in Brazil,Argentina Soy 77% Harvested Corn 34% Strong Yields for Both,U.S. Corn 49% Planted (Avg. is 80%) Soybeans 19% (Avg. is 47%),Brazil Soy Sales Soar due to Chinese Dollar Delays in U.S. Planting,Brazil Anticipates Increased Meat Exports to China,"8,63",0,-1,96% of Fungicides used on Brazilain Soybeans is for Rust Control Brazil Anticipates Increased Meat Exports to China Imea Estimates Soy Area in Mato Grosso to Increase 0.6% in 2019/20 2019 U.S. Soybean Planting Record Slow at 39% Complete Brazilian Soybean Prices follow U.S. Prices Higher 2019 U.S. Soybean Acreage and Yields Uncertain at this Time Corn-Based Ethanol Production continues to Expand in Brazil Argentina Soy 77% Harvested Corn 34% Strong Yields for Both U.S. Corn 49% Planted (Avg. is 80%) Soybeans 19% (Avg. is 47%) Brazil Soy Sales Soar due to Chinese Dollar Delays in U.S. Planting,fungicide used brazilain soybean rust control brazil anticipates increased meat export china imea estimate soy area mato grosso increase soybean planting record slow complete brazilian soybean price follow price higher soybean acreage yield uncertain cornbased ethanol production continues expand brazil argentina soy harvested corn strong yield corn planted avg soybean avg brazil soy sale soar due chinese dollar delay planting,98,60
2019-06-11,Trip Report - Northern Illinois - July 5 2019,U.S. Corn Condition Improves Slightly Soybeans Decline Slightly,Soy Prices could decline 23% if Brazil's Kandir Law Revoked,2019 U.S. Soy 92% Planted 83% Emerged - Remains Very Delayed,Cost of Producing Corn and Cotton in Mato Grosso on the Rise,Trip Report - Illinois Indiana and Ohio,U.S. Crop Conditions Decline due to Wet Conditions,2019 U.S. Corn 96% Planted Soybeans 85% Planted,Corn Harvest in Full Swing in Brazil Record Production Expected,2019 U.S. Corn 92% Planted Soybeans 77% Planted,"8,47",0,-1,Trip Report - Northern Illinois - July 5 2019 2019 U.S. Corn 92% Planted Soybeans 77% Planted U.S. Corn Condition Improves Slightly Soybeans Decline Slightly Soy Prices could decline 23% if Brazil's Kandir Law Revoked 2019 U.S. Soy 92% Planted 83% Emerged - Remains Very Delayed Cost of Producing Corn and Cotton in Mato Grosso on the Rise Trip Report - Illinois Indiana and Ohio U.S. Crop Conditions Decline due to Wet Conditions 2019 U.S. Corn 96% Planted Soybeans 85% Planted Corn Harvest in Full Swing in Brazil Record Production Expected,trip northern illinois july corn planted soybean planted corn condition improves slightly soybean decline slightly soy price decline brazil kandir law revoked soy planted emerged remains delayed cost producing corn cotton mato grosso rise trip illinois indiana ohio crop condition decline due wet condition corn planted soybean planted corn harvest full swing brazil record production expected,91,56
2019-07-11,Soybean Prices Improving for Brazilian Farmers,First Look at 2019/20 South American Crop Production,Condition of U.S. Corn Crop declines 1% to 57% Good to Excellent,Brazil Ministry - Soy Production to Expand 32.9% over next Decade,Condition of the 2019 U.S. Soybean Crop Unchanged,Freeze results in Lower Wheat Production in Parana Brazil,U.S. Corn Condition declines 1% to 57% Good to Excellent,U.S. Soybean Condition Unchanged at 54% Good to Excellent,Soybean Supply to tighten in Brazil between September and January,Reaction to the S. American Estimates in the July WASDE Report,"8,93",1,1,Soybean Prices Improving for Brazilian Farmers Reaction to the S. American Estimates in the July WASDE Report First Look at 2019/20 South American Crop Production Condition of U.S. Corn Crop declines 1% to 57% Good to Excellent Brazil Ministry - Soy Production to Expand 32.9% over next Decade Condition of the 2019 U.S. Soybean Crop Unchanged Freeze results in Lower Wheat Production in Parana Brazil U.S. Corn Condition declines 1% to 57% Good to Excellent U.S. Soybean Condition Unchanged at 54% Good to Excellent Soybean Supply to tighten in Brazil between September and January,soybean price improving brazilian farmer reaction american estimate july wasde first look south american crop production condition corn crop decline good excellent brazil ministry soy production expand next decade condition soybean crop unchanged freeze result lower wheat production parana brazil corn condition decline good excellent soybean condition unchanged good excellent soybean supply tighten brazil september january,94,56
2019-08-12,Six Million Acres of 2019 U.S. Soybeans not yet Setting Pods,2019 U.S. Corn Condition declines 3% gd/ex Soybeans Unchanged,Soybean Rust may Appear Later this Year in Southern Brazil,Economics and Politics Favor Soy over Corn in Argentina in 2019/20,AgRural Projecting 1.1% increase in Brazil Soy Acreage in 2019/20,Farmers in Parana should be the First to Plant Soybeans in Brazil,2019 U.S. Corn Condition improves 1% G/E Soybeans Unchanged,Soybean Prices in Brazil continue to Move Higher,Argentina May Start Exporting Soybean Meal to China,Farmers in Parana trying to Revive Cotton Production,"8,79",0,-1,Six Million Acres of 2019 U.S. Soybeans not yet Setting Pods Farmers in Parana trying to Revive Cotton Production 2019 U.S. Corn Condition declines 3% gd/ex Soybeans Unchanged Soybean Rust may Appear Later this Year in Southern Brazil Economics and Politics Favor Soy over Corn in Argentina in 2019/20 AgRural Projecting 1.1% increase in Brazil Soy Acreage in 2019/20 Farmers in Parana should be the First to Plant Soybeans in Brazil 2019 U.S. Corn Condition improves 1% G/E Soybeans Unchanged Soybean Prices in Brazil continue to Move Higher Argentina May Start Exporting Soybean Meal to China,six million acre soybean yet setting pod farmer parana trying revive cotton production corn condition decline gdex soybean unchanged soybean rust appear later southern brazil economics politics favor soy corn argentina agrural projecting increase brazil soy acreage farmer parana first plant soybean brazil corn condition improves soybean unchanged soybean price brazil continue move higher argentina start exporting soybean meal china,96,60
